model,dataset_id,page_index,tokens_total,tokens_correct,tokens_wrong,extra_pred_tokens,substitutions,deletions,insertions,accuracy,accuracy_percent
LLM Google Gemini-3.5 Flash-plain,13,9,3,3,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,13,10,6,6,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,13,11,6,5,1,0,1,0,0,0.833333,83.33
LLM Google Gemini-3.5 Flash-plain,13,12,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,14,1,2,2,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,14,2,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,14,3,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,14,4,4,3,1,0,1,0,0,0.750000,75.00
LLM Google Gemini-3.5 Flash-plain,14,5,9,9,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,14,6,2,2,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,14,7,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,14,8,3,3,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,14,9,3,0,3,0,1,2,0,0.000000,0.00
LLM Google Gemini-3.5 Flash-plain,14,10,6,6,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,14,11,6,6,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,14,12,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,15,1,2,1,1,0,1,0,0,0.500000,50.00
LLM Google Gemini-3.5 Flash-plain,15,2,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,15,3,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,15,4,4,2,2,0,2,0,0,0.500000,50.00
LLM Google Gemini-3.5 Flash-plain,15,5,9,9,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,15,6,2,2,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,15,7,4,3,1,0,1,0,0,0.750000,75.00
LLM Google Gemini-3.5 Flash-plain,15,8,3,3,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,15,9,3,3,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,15,10,6,5,1,0,1,0,0,0.833333,83.33
LLM Google Gemini-3.5 Flash-plain,15,11,6,4,2,0,2,0,0,0.666667,66.67
LLM Google Gemini-3.5 Flash-plain,15,12,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,16,1,2,2,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,16,2,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,16,3,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,16,4,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,16,5,9,9,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,16,6,2,2,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,16,7,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,16,8,3,3,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,16,9,3,3,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,16,10,6,6,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,16,11,6,6,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,16,12,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,17,1,2,2,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,17,2,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,17,3,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,17,4,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,17,5,9,9,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,17,6,2,2,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,17,7,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,17,8,3,3,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,17,9,3,3,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,17,10,6,6,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,17,11,6,6,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,17,12,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,18,1,2,1,1,0,1,0,0,0.500000,50.00
LLM Google Gemini-3.5 Flash-plain,18,2,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,18,3,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,18,4,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,18,5,9,9,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,18,6,2,2,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,18,7,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,18,8,3,3,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,18,9,3,3,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,18,10,6,6,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,18,11,6,6,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,18,12,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,19,1,2,2,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,19,2,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,19,3,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,19,4,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,19,5,9,9,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,19,6,2,2,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,19,7,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,19,8,3,3,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,19,9,3,3,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,19,10,6,6,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,19,11,6,6,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,19,12,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,20,1,2,2,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,20,2,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,20,3,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,20,4,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,20,5,9,9,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,20,6,2,2,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,20,7,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,20,8,3,3,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,20,9,3,3,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,20,10,6,6,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,20,11,6,6,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,20,12,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,21,1,2,2,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,21,2,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,21,3,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,21,4,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,21,5,9,9,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,21,6,2,2,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,21,7,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,21,8,3,3,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,21,9,3,3,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,21,10,6,6,0,0,0,0,0,1.000000,100.00
