dataset_id,page_idx,gt_tokens,pred_tokens,correct,substitutions,deletions,insertions,accuracy
18,1,4,4,4,0,0,0,1.000000
18,2,4,4,4,0,0,0,1.000000
18,3,4,4,4,0,0,0,1.000000
18,4,9,9,9,0,0,0,1.000000
18,5,2,2,2,0,0,0,1.000000
18,6,4,4,4,0,0,0,1.000000
18,7,3,3,3,0,0,0,1.000000
18,8,3,3,3,0,0,0,1.000000
18,9,6,6,6,0,0,0,1.000000
18,10,6,6,5,1,0,0,0.833333
18,11,4,4,4,0,0,0,1.000000
19,0,2,2,2,0,0,0,1.000000
19,1,4,4,4,0,0,0,1.000000
19,2,4,4,4,0,0,0,1.000000
19,3,4,4,4,0,0,0,1.000000
19,4,9,9,9,0,0,0,1.000000
19,5,2,2,2,0,0,0,1.000000
19,6,4,4,4,0,0,0,1.000000
19,7,3,3,3,0,0,0,1.000000
19,8,3,3,3,0,0,0,1.000000
19,9,6,6,6,0,0,0,1.000000
19,10,6,6,6,0,0,0,1.000000
19,11,4,4,4,0,0,0,1.000000
20,0,2,2,2,0,0,0,1.000000
20,1,4,4,4,0,0,0,1.000000
20,2,4,4,3,1,0,0,0.750000
20,3,4,4,4,0,0,0,1.000000
20,4,9,9,9,0,0,0,1.000000
20,5,2,2,2,0,0,0,1.000000
20,6,4,4,4,0,0,0,1.000000
20,7,3,3,3,0,0,0,1.000000
20,8,3,3,3,0,0,0,1.000000
20,9,6,6,6,0,0,0,1.000000
20,10,6,6,6,0,0,0,1.000000
20,11,4,4,4,0,0,0,1.000000
21,0,2,2,2,0,0,0,1.000000
21,1,4,4,4,0,0,0,1.000000
21,2,4,4,4,0,0,0,1.000000
21,3,4,4,4,0,0,0,1.000000
21,4,9,9,9,0,0,0,1.000000
21,5,2,2,2,0,0,0,1.000000
21,6,4,4,4,0,0,0,1.000000
21,7,3,3,3,0,0,0,1.000000
21,8,3,3,3,0,0,0,1.000000
21,9,6,6,6,0,0,0,1.000000
21,10,6,6,6,0,0,0,1.000000
21,11,4,4,4,0,0,0,1.000000
22,0,2,2,2,0,0,0,1.000000
22,1,4,4,4,0,0,0,1.000000
22,2,4,4,4,0,0,0,1.000000
22,3,4,4,4,0,0,0,1.000000
22,4,9,9,9,0,0,0,1.000000
22,5,2,2,2,0,0,0,1.000000
22,6,4,4,4,0,0,0,1.000000
22,7,3,3,3,0,0,0,1.000000
22,8,3,3,3,0,0,0,1.000000
22,9,6,6,6,0,0,0,1.000000
22,10,6,6,6,0,0,0,1.000000
22,11,4,4,4,0,0,0,1.000000
23,0,2,2,2,0,0,0,1.000000
23,1,4,4,4,0,0,0,1.000000
23,2,4,4,4,0,0,0,1.000000
23,3,4,4,4,0,0,0,1.000000
23,4,9,9,9,0,0,0,1.000000
23,5,2,2,2,0,0,0,1.000000
23,6,4,4,4,0,0,0,1.000000
23,7,3,3,3,0,0,0,1.000000
23,8,3,3,3,0,0,0,1.000000
23,9,6,6,6,0,0,0,1.000000
23,10,6,6,6,0,0,0,1.000000
23,11,4,4,4,0,0,0,1.000000
24,0,2,2,2,0,0,0,1.000000
24,1,4,4,4,0,0,0,1.000000
24,2,4,4,4,0,0,0,1.000000
24,3,4,4,4,0,0,0,1.000000
24,4,9,9,8,1,0,0,0.888889
24,5,2,2,2,0,0,0,1.000000
24,6,4,4,4,0,0,0,1.000000
24,7,3,3,3,0,0,0,1.000000
24,8,3,3,3,0,0,0,1.000000
24,9,6,6,6,0,0,0,1.000000
24,10,6,6,5,1,0,0,0.833333
24,11,4,4,4,0,0,0,1.000000
25,0,2,2,2,0,0,0,1.000000
25,1,4,4,4,0,0,0,1.000000
25,2,4,4,4,0,0,0,1.000000
25,3,4,4,4,0,0,0,1.000000
25,4,9,9,9,0,0,0,1.000000
25,5,2,2,2,0,0,0,1.000000
25,6,4,4,4,0,0,0,1.000000
25,7,3,3,3,0,0,0,1.000000
25,8,3,3,3,0,0,0,1.000000
25,9,6,6,6,0,0,0,1.000000
25,10,6,6,4,2,0,0,0.666667
25,11,4,4,4,0,0,0,1.000000
26,0,2,2,2,0,0,0,1.000000
26,1,4,4,4,0,0,0,1.000000
26,2,4,4,4,0,0,0,1.000000
26,3,4,4,4,0,0,0,1.000000
26,4,9,9,9,0,0,0,1.000000
26,5,2,2,2,0,0,0,1.000000
26,6,4,4,4,0,0,0,1.000000
26,7,3,3,3,0,0,0,1.000000
26,8,3,3,3,0,0,0,1.000000
26,9,6,6,6,0,0,0,1.000000
26,10,6,6,6,0,0,0,1.000000
26,11,4,4,4,0,0,0,1.000000
27,0,2,2,1,1,0,0,0.500000
27,1,4,4,3,1,0,0,0.750000
27,2,4,4,3,1,0,0,0.750000
27,3,4,4,4,0,0,0,1.000000
27,4,9,9,9,0,0,0,1.000000
27,5,2,2,2,0,0,0,1.000000
27,6,4,4,3,1,0,0,0.750000
27,7,3,3,2,1,0,0,0.666667
27,8,3,3,2,1,0,0,0.666667
27,9,6,6,6,0,0,0,1.000000
27,10,6,6,6,0,0,0,1.000000
27,11,4,4,4,0,0,0,1.000000
28,0,2,2,2,0,0,0,1.000000
28,1,4,4,4,0,0,0,1.000000
28,2,4,4,4,0,0,0,1.000000
28,3,4,4,4,0,0,0,1.000000
28,4,9,9,9,0,0,0,1.000000
28,5,2,2,2,0,0,0,1.000000
28,6,4,4,3,1,0,0,0.750000
28,7,3,3,3,0,0,0,1.000000
28,8,3,3,3,0,0,0,1.000000
28,9,6,6,6,0,0,0,1.000000
28,10,6,6,6,0,0,0,1.000000
28,11,4,4,4,0,0,0,1.000000
29,0,2,2,2,0,0,0,1.000000
29,1,4,4,4,0,0,0,1.000000
29,2,4,4,4,0,0,0,1.000000
29,3,4,4,4,0,0,0,1.000000
29,4,9,9,9,0,0,0,1.000000
29,5,2,2,2,0,0,0,1.000000
29,6,4,4,4,0,0,0,1.000000
29,7,3,3,3,0,0,0,1.000000
29,8,3,3,3,0,0,0,1.000000
29,9,6,6,6,0,0,0,1.000000
29,10,6,6,6,0,0,0,1.000000
29,11,4,4,4,0,0,0,1.000000
30,0,2,2,2,0,0,0,1.000000
30,1,4,4,4,0,0,0,1.000000
30,2,4,4,4,0,0,0,1.000000
30,3,4,4,4,0,0,0,1.000000
30,4,9,9,9,0,0,0,1.000000
30,5,2,2,2,0,0,0,1.000000
30,6,4,4,4,0,0,0,1.000000
30,7,3,3,3,0,0,0,1.000000
30,8,3,3,3,0,0,0,1.000000
30,9,6,6,6,0,0,0,1.000000
30,10,6,6,6,0,0,0,1.000000
30,11,4,4,4,0,0,0,1.000000
31,0,2,2,2,0,0,0,1.000000
31,1,4,4,4,0,0,0,1.000000
31,2,4,4,4,0,0,0,1.000000
31,3,4,4,4,0,0,0,1.000000
31,4,9,9,9,0,0,0,1.000000
31,5,2,2,2,0,0,0,1.000000
